iter	Passed	Remaining
959	3350	139
960	3354	136
961	3357	132
962	3361	129
963	3365	125
964	3369	122
965	3373	118
966	3377	115
967	3382	111
968	3386	108
969	3391	104
970	3395	101
971	3398	97
972	3402	94
973	3406	90
974	3410	87
975	3414	83
976	3417	80
977	3420	76
978	3424	73
979	3429	69
980	3432	66
981	3436	62
982	3440	59
983	3443	55
984	3447	52
985	3451	49
986	3455	45
987	3460	42
988	3464	38
989	3467	35
990	3471	31
991	3475	28
992	3479	24
993	3483	21
994	3487	17
995	3490	14
996	3494	10
997	3498	7
998	3501	3
999	3505	0
